time,tmp,pre,runoff
1901-01-16,-2.4804814,7.5877,4130.0
1901-02-15,-0.7243314,8.466578,4010.0
1901-03-16,3.512834,16.990643,3720.0
1901-04-16,8.03155,51.69813,5670.0
1901-05-16,11.970322,68.76231,8650.0
1901-06-16,14.615775,143.56123,17500.0
1901-07-16,16.63877,169.79012,39800.0
1901-08-16,16.266579,103.97808,21700.0
1901-09-16,13.085562,114.64386,23300.0
1901-10-16,8.49091,56.559628,17800.0
1901-11-16,2.7796793,26.129145,9160.0
1901-12-16,-1.3382354,3.8721926,5530.0
1902-01-16,-2.393583,10.46417,4030.0
1902-02-15,-0.76898396,17.455883,4040.0
1902-03-16,3.6684492,19.17968,3790.0
1902-04-16,7.5245986,39.771122,4470.0
1902-05-16,11.99305,84.65883,8270.0
1902-06-16,14.124332,134.45775,14400.0
1902-07-16,16.463903,124.42968,25000.0
1902-08-16,16.0123,114.05294,32200.0
1902-09-16,12.917113,113.20963,29500.0
1902-10-16,8.064974,68.6377,20200.0
1902-11-16,2.5946524,21.877808,10700.0
1902-12-16,-1.618449,7.952674,5970.0
1903-01-16,-2.9114978,10.2614975,4450.0
1903-02-15,-0.8540107,12.982352,3890.0
1903-03-16,3.2799468,25.250805,5100.0
1903-04-16,8.105348,51.890644,7620.0
1903-05-16,11.759893,92.71739,11500.0
1903-06-16,14.356418,160.03958,21600.0
1903-07-16,16.71337,191.46231,30700.0
1903-08-16,15.950267,174.3369,30300.0
1903-09-16,13.158022,136.15321,29700.0
1903-10-16,8.795187,64.98663,20400.0
1903-11-16,2.8959897,17.490108,12100.0
1903-12-16,-1.3885025,5.5302134,6330.0
1904-01-16,-2.7393048,10.859359,4330.0
1904-02-15,-0.68475944,11.77246,4350.0
1904-03-16,3.3772726,31.568184,5310.0
1904-04-16,7.6486635,57.683697,8340.0
1904-05-16,11.652676,83.487175,14200.0
1904-06-16,14.620053,125.53263,17200.0
1904-07-16,16.523798,137.73343,27100.0
1904-08-16,16.136095,144.92593,27400.0
1904-09-16,13.09492,109.56071,30200.0
1904-10-16,8.530214,66.79546,22000.0
1904-11-16,2.5128343,15.905348,11400.0
1904-12-16,-1.6911764,13.282353,6180.0
1905-01-16,-2.885294,9.090909,4700.0
1905-02-15,-1.2652407,10.029679,4100.0
1905-03-16,2.4371657,23.14171,5380.0
1905-04-16,6.958289,39.70615,7460.0
1905-05-16,11.65107,76.18369,10900.0
1905-06-16,14.962834,137.84065,19100.0
1905-07-16,16.608288,123.97914,25400.0
1905-08-16,15.579679,161.46658,38900.0
1905-09-16,13.138234,146.48691,35800.0
1905-10-16,8.435027,79.55134,25700.0
1905-11-16,2.898663,29.53021,13400.0
1905-12-16,-1.4328879,11.794652,7310.0
1906-01-16,-2.673262,6.961765,6220.0
1906-02-15,-1.3943852,9.6877,4640.0
1906-03-16,2.975134,22.6746,4850.0
1906-04-16,7.627273,51.11444,8190.0
1906-05-16,11.745989,71.465515,13800.0
1906-06-16,14.435561,132.1508,24700.0
1906-07-16,16.760963,164.5532,27600.0
1906-08-16,15.517112,164.64946,31400.0
1906-09-16,13.296524,90.90348,23100.0
1906-10-16,8.43369,67.24011,18600.0
1906-11-16,2.5743313,19.61123,8780.0
1906-12-16,-1.2114973,7.685561,5440.0
